shelter_id,Species,year_date,month_date,count
Atlanta,Cat,2019,1,1
Atlanta,Cat,2019,2,1
Atlanta,Cat,2019,3,2
Atlanta,Cat,2019,4,1
Atlanta,Cat,2019,5,4
Atlanta,Cat,2019,6,3
Atlanta,Cat,2019,7,1
Atlanta,Cat,2019,8,1
Atlanta,Cat,2019,9,2
Atlanta,Cat,2019,10,3
Atlanta,Cat,2019,12,3
Atlanta,Cat,2020,1,2
Atlanta,Cat,2020,2,1
Atlanta,Cat,2020,3,2
Atlanta,Cat,2020,4,3
Atlanta,Cat,2020,5,1
Atlanta,Cat,2020,6,1
Atlanta,Cat,2020,7,2
Atlanta,Cat,2020,8,3
Atlanta,Cat,2020,10,2
Atlanta,Cat,2020,11,5
Atlanta,Cat,2020,12,2
Atlanta,Cat,2021,1,2
Atlanta,Cat,2021,3,3
Atlanta,Cat,2021,4,3
Atlanta,Cat,2021,5,4
Atlanta,Cat,2021,6,1
Atlanta,Cat,2021,7,3
Atlanta,Cat,2021,8,4
Atlanta,Cat,2021,9,4
Atlanta,Cat,2021,10,2
Atlanta,Cat,2021,11,1
Atlanta,Cat,2021,12,3
Atlanta,Dog,2019,1,43
Atlanta,Dog,2019,2,44
Atlanta,Dog,2019,3,34
Atlanta,Dog,2019,4,49
Atlanta,Dog,2019,5,35
Atlanta,Dog,2019,6,33
Atlanta,Dog,2019,7,38
Atlanta,Dog,2019,8,29
Atlanta,Dog,2019,9,34
Atlanta,Dog,2019,10,26
Atlanta,Dog,2019,11,39
Atlanta,Dog,2019,12,33
Atlanta,Dog,2020,1,44
Atlanta,Dog,2020,2,23
Atlanta,Dog,2020,3,32
Atlanta,Dog,2020,4,17
Atlanta,Dog,2020,5,28
Atlanta,Dog,2020,6,29
Atlanta,Dog,2020,7,25
Atlanta,Dog,2020,8,26
Atlanta,Dog,2020,9,21
Atlanta,Dog,2020,10,29
Atlanta,Dog,2020,11,34
Atlanta,Dog,2020,12,35
Atlanta,Dog,2021,1,38
Atlanta,Dog,2021,2,31
Atlanta,Dog,2021,3,45
Atlanta,Dog,2021,4,36
Atlanta,Dog,2021,5,40
Atlanta,Dog,2021,6,31
Atlanta,Dog,2021,7,41
Atlanta,Dog,2021,8,51
Atlanta,Dog,2021,9,24
Atlanta,Dog,2021,10,33
Atlanta,Dog,2021,11,29
Atlanta,Dog,2021,12,40
Atlanta,Other,2019,3,4
Atlanta,Other,2020,5,1
Atlanta,Other,2020,7,1
Atlanta,Other,2020,10,1
Atlanta,Other,2021,2,1
Atlanta,Other,2021,7,1
Atlanta,Other,2021,10,1
Dallas,Dog,2018,10,185
Dallas,Dog,2018,11,199
Dallas,Dog,2018,12,345
Dallas,Dog,2019,1,409
Dallas,Dog,2019,2,277
Dallas,Dog,2019,3,367
Dallas,Dog,2019,4,339
Dallas,Dog,2019,5,268
Dallas,Dog,2019,6,287
Dallas,Dog,2019,7,282
Dallas,Dog,2019,8,232
Dallas,Dog,2019,9,241
Dallas,Dog,2019,10,263
Dallas,Dog,2019,11,247
Dallas,Dog,2019,12,228
Dallas,Dog,2020,1,301
Dallas,Dog,2020,2,296
Dallas,Dog,2020,3,203
Dallas,Dog,2020,4,79
Dallas,Dog,2020,5,83
Dallas,Dog,2020,6,86
Dallas,Dog,2020,7,121
Dallas,Dog,2020,8,87
Dallas,Dog,2020,9,102
Fresno,Cat,2021,2,1
Fresno,Cat,2021,5,1
Fresno,Cat,2021,8,3
Fresno,Dog,2021,1,19
Fresno,Dog,2021,2,19
Fresno,Dog,2021,3,11
Fresno,Dog,2021,4,17
Fresno,Dog,2021,5,13
Fresno,Dog,2021,6,13
Fresno,Dog,2021,7,16
Fresno,Dog,2021,8,10
Fresno,Dog,2021,9,16
Fresno,Dog,2021,10,11
Fresno,Horse,2021,7,1
Las Vegas,Dog,2019,1,212
Las Vegas,Dog,2019,2,179
Las Vegas,Dog,2019,3,221
Las Vegas,Dog,2019,4,230
Las Vegas,Dog,2019,5,234
Las Vegas,Dog,2019,6,226
Las Vegas,Dog,2019,7,215
Las Vegas,Dog,2019,8,191
Las Vegas,Dog,2019,9,212
Las Vegas,Dog,2019,10,232
Las Vegas,Dog,2019,11,211
Las Vegas,Dog,2019,12,218
Madera,Dog,2020,1,17
Madera,Dog,2020,2,14
Madera,Dog,2020,3,6
Madera,Dog,2020,4,3
Madera,Dog,2020,5,10
Madera,Dog,2020,6,6
Madera,Dog,2020,7,11
Madera,Dog,2020,8,7
Madera,Dog,2020,9,7
Madera,Dog,2020,10,4
Madera,Dog,2020,11,7
Madera,Dog,2020,12,7
Madera,Dog,2021,1,16
Madera,Dog,2021,2,11
Madera,Dog,2021,3,18
Madera,Dog,2021,4,9
Madera,Dog,2021,5,7
Madera,Dog,2021,6,6
Madera,Dog,2021,7,13
Madera,Dog,2021,8,9
Madera,Dog,2021,9,12
Madera,Dog,2021,10,5
Mcallen,Cat,2017,1,90
Mcallen,Dog,2017,1,425
Mcallen,Pig,2017,1,1
Mcallen,Rabbit,2017,1,1
Oakland,Cat,2021,1,6
Oakland,Cat,2021,2,1
Oakland,Cat,2021,3,5
Oakland,Cat,2021,4,1
Oakland,Cat,2021,5,3
Oakland,Cat,2021,6,4
Oakland,Cat,2021,7,3
Oakland,Cat,2021,8,2
Oakland,Cat,2021,9,4
Oakland,Cat,2021,10,7
Oakland,Dog,2021,1,24
Oakland,Dog,2021,2,18
Oakland,Dog,2021,3,26
Oakland,Dog,2021,4,14
Oakland,Dog,2021,5,18
Oakland,Dog,2021,6,22
Oakland,Dog,2021,7,34
Oakland,Dog,2021,8,23
Oakland,Dog,2021,9,23
Oakland,Dog,2021,10,15
Pasco,Cat,2019,1,1
Pasco,Cat,2019,10,1
Pasco,Cat,2019,11,2
Pasco,Cat,2020,1,1
Pasco,Cat,2020,4,1
Pasco,Cat,2020,6,1
Pasco,Cat,2020,7,1
Pasco,Cat,2020,8,1
Pasco,Cat,2021,2,1
Pasco,Cat,2021,5,1
Pasco,Dog,2019,1,21
Pasco,Dog,2019,2,10
Pasco,Dog,2019,3,18
Pasco,Dog,2019,4,8
Pasco,Dog,2019,5,10
Pasco,Dog,2019,6,19
Pasco,Dog,2019,7,16
Pasco,Dog,2019,8,20
Pasco,Dog,2019,9,21
Pasco,Dog,2019,10,26
Pasco,Dog,2019,11,15
Pasco,Dog,2019,12,16
Pasco,Dog,2020,1,24
Pasco,Dog,2020,2,24
Pasco,Dog,2020,3,11
Pasco,Dog,2020,4,5
Pasco,Dog,2020,5,16
Pasco,Dog,2020,6,10
Pasco,Dog,2020,7,13
Pasco,Dog,2020,8,7
Pasco,Dog,2020,9,12
Pasco,Dog,2020,10,15
Pasco,Dog,2020,11,12
Pasco,Dog,2020,12,16
Pasco,Dog,2021,1,16
Pasco,Dog,2021,2,13
Pasco,Dog,2021,3,11
Pasco,Dog,2021,4,14
Pasco,Dog,2021,5,8
Rochester,Cat,2021,1,2
Rochester,Cat,2021,3,1
Rochester,Cat,2021,5,1
Rochester,Cat,2021,6,2
Rochester,Cat,2021,7,1
Rochester,Cat,2021,8,1
Rochester,Cat,2021,9,1
Rochester,Cat,2021,10,2
Rochester,Cat,2021,11,2
Rochester,Cat,2021,12,3
Rochester,Dog,2021,1,25
Rochester,Dog,2021,2,16
Rochester,Dog,2021,3,19
Rochester,Dog,2021,4,36
Rochester,Dog,2021,5,20
Rochester,Dog,2021,6,15
Rochester,Dog,2021,7,17
Rochester,Dog,2021,8,16
Rochester,Dog,2021,9,20
Rochester,Dog,2021,10,18
Rochester,Dog,2021,11,19
Rochester,Dog,2021,12,22
Rochester,Pet reptile,2021,1,1
Tucson,Dog,2017,1,9
Tucson,Dog,2019,1,124
Tucson,Dog,2019,2,123
Tucson,Dog,2019,3,93
Tucson,Dog,2019,4,94
Tucson,Dog,2019,5,111
Tucson,Dog,2019,6,76
Tucson,Dog,2019,7,100
Tucson,Dog,2019,8,104
Tucson,Dog,2019,9,120
Tucson,Dog,2019,10,103
Tucson,Dog,2019,11,149
Tucson,Dog,2019,12,182
Tucson,Dog,2020,1,166
Tucson,Dog,2020,2,154
Tucson,Dog,2020,3,132
Tucson,Dog,2020,4,46
Tucson,Dog,2020,5,57
Tucson,Dog,2020,6,57
Tucson,Dog,2020,7,70
Tucson,Dog,2020,8,74
Tucson,Dog,2020,9,60
Tucson,Dog,2020,10,86
Tucson,Dog,2020,11,88
Tucson,Dog,2020,12,106
Tucson,Dog,2021,1,99
Tucson,Dog,2021,2,92
Tucson,Dog,2021,3,105
Tucson,Dog,2021,4,94
Tucson,Dog,2021,5,94
Tucson,Dog,2021,6,102
Tucson,Dog,2021,7,166
Tucson,Dog,2021,8,110
Tucson,Dog,2021,9,105
Tucson,Dog,2021,10,120
