,shelter_id,Species,found_lng,found_lat,outcome_lng,outcome_lat,distance_miles,found_address,outcome_address,geometry,annual_intake_2019,annual_intake_2020,annual_intake_2021,jurisdiction_size_sq_km,justidiction_state,jurisdiction_region,jurisdiction_pop_size,jurisdiction_pop_density_person_per_sq_km,year_date,month_date
0,Rochester,Dog,-77.633991,43.1772371,-77.6346175,43.1783868,0.0854445930190225,158 Glenwood ave Rochester 14613,54 Tacoma Street Rochester NY 14613,POINT (-77.6346175 43.1783868),3867,2732.0,2677.0,3541,NY,Monroe County,741770,209.48037277605195,2021,1
1,Rochester,Dog,-77.5991732,43.1854953,-77.5833667,43.1716499,1.24546609163668,1094 HUDSON AVE 14621 Rochester 14621,31 CROMBIE ST Rochester NY 14605,POINT (-77.5833667 43.1716499),3867,2732.0,2677.0,3541,NY,Monroe County,741770,209.48037277605195,2021,1
2,Rochester,Dog,-77.617074,43.2419261,-77.6153732,43.2494835,0.528721711165907,17 Hughes pl Rochester 14608,4313 LAKE AVE Rochester NY 14612,POINT (-77.6153732 43.2494835),3867,2732.0,2677.0,3541,NY,Monroe County,741770,209.48037277605195,2021,1
3,Rochester,Dog,-77.6432307,43.180933,-77.64597,43.1796653,0.163734731362278,DRIVING PK and  2 CANARY ST. Rochester 14608,1 CANARY ST Rochester NY 14613,POINT (-77.64597 43.1796653),3867,2732.0,2677.0,3541,NY,Monroe County,741770,209.48037277605195,2021,2
4,Rochester,Dog,-77.650684,43.1437804,-77.6531874,43.145435,0.170467340483496,74 Thurston Rd Rochester 14608,216 DEPEW Street Rochester NY 14611,POINT (-77.6531874 43.145435),3867,2732.0,2677.0,3541,NY,Monroe County,741770,209.48037277605195,2021,2
5,Rochester,Dog,-77.5747704,43.1713017,-77.5706831,43.1659468,0.423438439311489,696 BAY STREET Rochester 14609,300 PARSELLS AVE Rochester NY 14609,POINT (-77.5706831 43.1659468),3867,2732.0,2677.0,3541,NY,Monroe County,741770,209.48037277605195,2021,2
6,Rochester,Dog,-77.6474602,43.1936949,-77.650995,43.1922921,0.203108543281701,651 Ridgeway ave Rochester 14615,506 Westmount st Rochester NY 14615,POINT (-77.650995 43.1922921),3867,2732.0,2677.0,3541,NY,Monroe County,741770,209.48037277605195,2021,2
7,Rochester,Dog,-77.6404684,43.1467431,-77.6262476,43.1410834,0.818157747004741,94 Wellington ave Rochester 14619,289 REYNOLDS ST Rochester NY 14608,POINT (-77.6262476 43.1410834),3867,2732.0,2677.0,3541,NY,Monroe County,741770,209.48037277605195,2021,2
8,Rochester,Cat,-77.6262937,43.1455535,-77.6263384,43.1452973,0.0178296380375753,181 REYNOLDS ST 14608 Rochester 14604,187 Reynolds Street Rochester NY 14608,POINT (-77.6263384 43.1452973),3867,2732.0,2677.0,3541,NY,Monroe County,741770,209.48037277605195,2021,3
9,Rochester,Dog,-77.635519,43.1679802,-77.6416784,43.1340235,2.36466938028055,195 Dewey ave Rochester 14608,65 Bradburn st Rochester NY 14619,POINT (-77.6416784 43.1340235),3867,2732.0,2677.0,3541,NY,Monroe County,741770,209.48037277605195,2021,3
10,Rochester,Dog,-77.6538138,43.1728046,-77.6507265,43.1485237,1.68339890996265,1060 Glide st Rochester 14614,68 Gardner av Rochester NY 14611,POINT (-77.6507265 43.1485237),3867,2732.0,2677.0,3541,NY,Monroe County,741770,209.48037277605195,2021,3
11,Rochester,Dog,-77.5853814,43.1829426,-77.5890972,43.1836488,0.193935885291631,936 Portland Ave Rochester ,155 DELMAINE Rochester NY 14621,POINT (-77.5890972 43.1836488),3867,2732.0,2677.0,3541,NY,Monroe County,741770,209.48037277605195,2021,3
12,Rochester,Dog,-77.6452229,43.1600075,-77.6402112,43.162555,0.308332111594844,30 Lisbon st Rochester 14608,43 Brayer st Rochester NY 14606,POINT (-77.6402112 43.162555),3867,2732.0,2677.0,3541,NY,Monroe County,741770,209.48037277605195,2021,3
13,Rochester,Dog,-77.646431,43.185084,-77.6472387,43.1833494,0.126503534930514,541 Birr st Rochester 14608,116 Argo Park Rochester NY 14613,POINT (-77.6472387 43.1833494),3867,2732.0,2677.0,3541,NY,Monroe County,741770,209.48037277605195,2021,3
14,Rochester,Dog,-77.6412851,43.1641269,-77.6412851,43.1641269,0.0,487 Lyell Ave Rochester 14608,487 Lyell Ave Rochester NY 14608,POINT (-77.6412851 43.1641269),3867,2732.0,2677.0,3541,NY,Monroe County,741770,209.48037277605195,2021,3
15,Rochester,Dog,-77.6009155,43.1711904,-77.5988563,43.1713,0.104318430002237,393 HUDSON AVE Rochester 14608,135 Merrimac st Rochester NY 14605,POINT (-77.5988563 43.1713),3867,2732.0,2677.0,3541,NY,Monroe County,741770,209.48037277605195,2021,3
16,Rochester,Dog,-77.5988563,43.1713,-77.5988563,43.1713,0.0,135 Merrimac st Rochester 14608,135 Merrimac st Rochester NY 14605,POINT (-77.5988563 43.1713),3867,2732.0,2677.0,3541,NY,Monroe County,741770,209.48037277605195,2021,3
17,Rochester,Dog,-77.5696661,43.1604126,-77.5711437,43.1593446,0.104934928601804,1564 EAST MAIN ST 14609 Rochester 14608,269 BRECK Street Rochester NY 14609,POINT (-77.5711437 43.1593446),3867,2732.0,2677.0,3541,NY,Monroe County,741770,209.48037277605195,2021,3
18,Rochester,Dog,-77.5827399,43.1697542,-77.5827399,43.1697542,0.0,157 6TH ST Rochester 14605,157 6TH ST Rochester NY 14605,POINT (-77.5827399 43.1697542),3867,2732.0,2677.0,3541,NY,Monroe County,741770,209.48037277605195,2021,5
19,Rochester,Dog,-77.642019,43.165814,-77.6424519,43.166315,0.0409221221298645,300 Murray st 14606 Rochester 14608,325 Murray st Rochester NY 14606,POINT (-77.6424519 43.166315),3867,2732.0,2677.0,3541,NY,Monroe County,741770,209.48037277605195,2021,5
20,Rochester,Dog,-77.6439681,43.1574027,-77.6455808,43.1575104,0.081840449079363,AMES and CAMPBELL ST 14611 Rochester 14606,634 CAMPBELL ST Rochester NY 14611,POINT (-77.6455808 43.1575104),3867,2732.0,2677.0,3541,NY,Monroe County,741770,209.48037277605195,2021,5
23,Rochester,Dog,-77.6257566,43.1767461,-77.6257566,43.1767461,0.0,4 RIVER BANK Rochester 14608,4 Riverbank Pl Rochester NY 14621,POINT (-77.6257566 43.1767461),3867,2732.0,2677.0,3541,NY,Monroe County,741770,209.48037277605195,2021,5
24,Rochester,Dog,-77.6257566,43.1767461,-77.6257566,43.1767461,0.0,4 Riverbank pl 14621 Rochester 14608,4 Riverbank Pl Rochester NY 14621,POINT (-77.6257566 43.1767461),3867,2732.0,2677.0,3541,NY,Monroe County,741770,209.48037277605195,2021,9
25,Rochester,Dog,-77.5725317,43.15767,-77.57011,43.156766,0.137379178216492,62 Crouch st 14609 Rochester 14608,13 Mayberry st Rochester NY 14609,POINT (-77.57011 43.156766),3867,2732.0,2677.0,3541,NY,Monroe County,741770,209.48037277605195,2021,6
26,Rochester,Dog,-77.6374842,43.1352017,-77.6377086,43.1351988,0.0113465272434391,174 SAWYER ST Rochester 14614,180 SAWYER ST. Rochester NY 14619,POINT (-77.6377086 43.1351988),3867,2732.0,2677.0,3541,NY,Monroe County,741770,209.48037277605195,2021,6
27,Rochester,Dog,-77.6114121,43.1806362,-77.6258909,43.14965,2.26069735483298,458 AVE D. Rochester 14605,209 Atkinson st Rochester NY 14608,POINT (-77.6258909 43.14965),3867,2732.0,2677.0,3541,NY,Monroe County,741770,209.48037277605195,2021,6
28,Rochester,Dog,-77.6027284,43.1786403,-77.5996618,43.1792088,0.159817811382452,274 WILKINS ST Rochester 14608,289 Berlin st Rochester NY 14621,POINT (-77.5996618 43.1792088),3867,2732.0,2677.0,3541,NY,Monroe County,741770,209.48037277605195,2021,6
29,Rochester,Dog,-77.6331097,43.1637157,-77.6374368,43.1918536,1.95467786485586,940 W.BROAD AVE Rochester 14614,270 CLAY Avenue Rochester NY 14613,POINT (-77.6374368 43.1918536),3867,2732.0,2677.0,3541,NY,Monroe County,741770,209.48037277605195,2021,7
30,Rochester,Dog,-77.655873,43.145879,-77.658406,43.144846,0.146555645767963,WILBUR and  LINCOLN ST Rochester 14614,43 BRIGGS ST Rochester NY 14611,POINT (-77.658406 43.144846),3867,2732.0,2677.0,3541,NY,Monroe County,741770,209.48037277605195,2021,7
31,Rochester,Dog,-77.6626278,43.1764888,-77.6631199,43.1761696,0.0332213217788307,126 STENSON 14606 Rochester 14606,109 STENSON ST Rochester NY 14606,POINT (-77.6631199 43.1761696),3867,2732.0,2677.0,3541,NY,Monroe County,741770,209.48037277605195,2021,7
32,Rochester,Dog,-77.5933501,43.1643945,-77.5933501,43.1643945,0.0,170 LEWIS ST 14605 Rochester 14608,170 LEWIS ST Rochester NY 14605,POINT (-77.5933501 43.1643945),3867,2732.0,2677.0,3541,NY,Monroe County,741770,209.48037277605195,2021,7
33,Rochester,Dog,-77.6269762,43.1679033,-77.6511744,43.1322022,2.75130546341371,8 Fulton av 14608 Rochester 14608,631 THURSTON RD NY 14619,POINT (-77.6511744 43.1322022),3867,2732.0,2677.0,3541,NY,Monroe County,741770,209.48037277605195,2021,7
34,Rochester,Dog,-77.639182,43.1930136,-77.6285364,43.2229197,2.13332659936371,1431 Dewey av 14615 Rochester 14608,33 Holcroft rd W Rochester NY 14612,POINT (-77.6285364 43.2229197),3867,2732.0,2677.0,3541,NY,Monroe County,741770,209.48037277605195,2021,7
35,Rochester,Dog,-77.571175,43.169549,-77.6401407,43.1679096,3.48655995468357,500 WEBSTER AVE Rochester 14467,15 Orlando st Rochester NY 14606,POINT (-77.6401407 43.1679096),3867,2732.0,2677.0,3541,NY,Monroe County,741770,209.48037277605195,2021,8
36,Rochester,Dog,-77.6064884,43.1832276,-77.6384884,43.18662,1.63335529571796,54 Weyl st Rochester 14621,1126 Dewey av Rochester NY 14613,POINT (-77.6384884 43.18662),3867,2732.0,2677.0,3541,NY,Monroe County,741770,209.48037277605195,2021,11
37,Rochester,Dog,-77.5851575,43.1793769,-77.6128646,43.1816908,1.40880904191659,81 AURORA ST 14621 Rochester 14608,23 KOHLMAN Street Rochester NY 14621,POINT (-77.6128646 43.1816908),3867,2732.0,2677.0,3541,NY,Monroe County,741770,209.48037277605195,2021,8
38,Rochester,Dog,-77.62673,43.1645017,-77.6978767,43.1392252,3.99689868992408,99 Lyell Ave Rochester 14608,974 Hinchey rd Rochester NY 14615,POINT (-77.6978767 43.1392252),3867,2732.0,2677.0,3541,NY,Monroe County,741770,209.48037277605195,2021,8
